cve_id,commit_url,file
CVE-2012-3366,https://github.com/Bcfg2/bcfg2/commit/a524967e8d5c4c22e49cd619aed20c87a316c0be,src/lib/Server/Plugins/Trigger.py
CVE-2017-16667,https://github.com/bit-team/backintime/commit/cef81d0da93ff601252607df3db1a48f7f6f01b3,qt4/plugins/notifyplugin.py
CVE-2018-19908
CVE-2020-15271
CVE-2021-21386,https://github.com/dwisiswant0/apkleaks/commit/a966e781499ff6fd4eea66876d7532301b13a382,apkleaks/apkleaks.py
CVE-2021-21433,https://github.com/DEMON1A/Discord-Recon/commit/26e2a084679679cccdeeabbb6889ce120eff7e50,app.py
CVE-2021-39160,https://github.com/jupyterhub/nbgitpuller/commit/07690644f29a566011dd0d7ba14cae3eb0490481,nbgitpuller/pull.py
CVE-2021-43857,https://github.com/Gerapy/Gerapy/commit/49bcb19be5e0320e7e1535f34fe00f16a3cf3b28,gerapy/server/core/views.py
CVE-2022-21668
CVE-2022-1813,https://github.com/yogeshojha/rengine/commit/8277cec0f008a0451371a92e7e0bf082ab3f0c34,web/reNgine/common_func.py
CVE-2019-25066,https://github.com/ajenti/ajenti/commit/7aa146b724e0e20cfee2c71ca78fafbf53a8767c,ajenti-core/aj/auth.py
CVE-2022-24065,https://github.com/cookiecutter/cookiecutter/commit/fdffddb31fd2b46344dfa317531ff155e7999f77,cookiecutter/vcs.py
CVE-2022-33891
CVE-2022-31137
CVE-2023-24816
CVE-2023-28627,https://github.com/pymedusa/Medusa/commit/66d4be8f0872bd5ddcdc5c5a58cb014d22834a45,medusa/updater/github_updater.py
CVE-2023-4033,https://github.com/mlflow/mlflow/commit/6dde93758d42455cb90ef324407919ed67668b9b,mlflow/pyfunc/backend.py
CVE-2023-40581,https://github.com/yt-dlp/yt-dlp/commit/de015e930747165dbb8fcd360f8775fd973b7d6e,yt_dlp/postprocessor/exec.py
CVE-2023-45158,https://github.com/web2py/web2py/commit/936e2260b0c34c44e2f3674a893e96d2a7fad0a3,gluon/messageboxhandler.py

