cve_id,commit_url,file
CVE-2011-4596,https://github.com/openstack/nova/commit/76363226bd8533256f7795bba358d7f4b8a6c9e6,nova/image/s3.py
CVE-2012-3360,https://github.com/openstack/nova/commit/2427d4a99bed35baefd8f17ba422cb7aae8dcca7,nova/virt/disk/api.py
CVE-2015-8309,https://github.com/devsnd/cherrymusic/commit/62dec34a1ea0741400dd6b6c660d303dcd651e86,cherrymusicserver/httphandler.py
CVE-2017-14695,https://github.com/saltstack/salt/commit/80d90307b07b3703428ecbb7c8bb468e28a9ae6d,salt/utils/verify.py
CVE-2018-10897,https://github.com/rpm-software-management/yum-utils/commit/6a8de061f8fdc885e74ebe8c94625bf53643b71c,reposync.py
CVE-2018-20332,https://github.com/E2OpenPlugins/e2openplugin-OpenWebif/commit/a846b7664eda3a4c51a452e00638cf7337dc2013,"[plugin/controllers/file.py, plugin/controllers/utilities.py]"
CVE-2019-14751
CVE-2020-8545,https://github.com/CIRCL/AIL-framework/commit/e808840f957c810b8e3944cba808716dc722581b,bin/Global.py
CVE-2019-20916,https://github.com/gzpan123/pip/commit/a4c735b14a62f9cb864533808ac63936704f2ace,src/pip/_internal/download.py
CVE-2020-15239,https://github.com/horazont/xmpp-http-upload/commit/82056540191e89f0cd697c81f57714c00962ed75,xhu.py
CVE-2021-32633,https://github.com/zopefoundation/Zope/commit/1f8456bf1f908ea46012537d52bd7e752a532c91,src/Products/PageTemplates/Expressions.py
CVE-2021-3426
CVE-2021-34363,https://github.com/nvbn/thefuck/commit/e343c577cd7da4d304b837d4a07ab4df1e023092,thefuck/rules/dirty_untar.py
CVE-2021-32674
CVE-2021-41185,https://github.com/kizniche/Mycodo/commit/23ac5dd422029c2b6ae1701a3599b6d41b66a6a9,mycodo/mycodo_flask/routes_general.py
CVE-2021-41127,https://github.com/RasaHQ/rasa/commit/1b6b502f52d73b4f8cd1959ce724b8ad0eb33989,rasa/model.py
CVE-2021-41131,https://github.com/theupdateframework/python-tuf/commit/4ad7ae48fda594b640139c3b7eae21ed5155a102,tuf/ngclient/updater.py
CVE-2021-41281
CVE-2021-43831,https://github.com/gradio-app/gradio/commit/41bd3645bdb616e1248b2167ca83636a2653f781,gradio/networking.py
CVE-2022-1554
CVE-2022-24840,https://github.com/codingjoe/django-s3file/commit/68ccd2c621a40eb66fdd6af2be9d5fcc9c373318,s3file/forms.py
CVE-2022-31564,https://github.com/woduq1414/munhak-moa/commit/e8f800373b20cb22de70c7a994325b8903877da0,app.py
CVE-2022-31549,https://github.com/olmax99/helm-flask-celery/commit/28c985d712d7ac26893433e8035e2e3678fcae9f,webapiservice/flaskapi/core/app_setup.py
CVE-2022-31507,https://github.com/ganga-devs/ganga/commit/730e7aba192407d35eb37dd7938d49071124be8c,ganga/GangaGUI/gui/routes.py
CVE-2022-31506,https://github.com/cmusatyalab/opendiamond/commit/398049c187ee644beabab44d6fece82251c1ea56,opendiamond/dataretriever/diamond_store.py
CVE-2022-35918,https://github.com/streamlit/streamlit/commit/80d9979d5f4a00217743d607078a1d867fad8acf,lib/streamlit/components/v1/components.py
CVE-2022-36081,https://github.com/Linbreux/wikmd/commit/8d1f94ec86b5b6c3df8ef10051facfb511a78450,wiki.py
CVE-2022-3389
CVE-2022-23530,https://github.com/DataDog/guarddog/commit/37c7d0767ba28f4df46117d478f97652594c491c,guarddog/scanners/package_scanner.py
CVE-2022-44900
CVE-2022-23470,https://github.com/galaxyproject/galaxy/commit/e5e6bda4f014f807ca77ee0cf6af777a55918346,lib/galaxy/web/framework/middleware/static.py
CVE-2022-4510,https://github.com/ReFirmLabs/binwalk/commit/696fe34ed680ffd951bfeca737feb4a0b98dde5c,src/binwalk/plugins/unpfs.py
CVE-2023-23608,https://github.com/spotipy-dev/spotipy/commit/b1db0b63d90eae40af32d7ee4c760c2fd581a1b4,spotipy/client.py
CVE-2022-25882
CVE-2023-0241
CVE-2023-1177
CVE-2023-30620,https://github.com/mindsdb/mindsdb/commit/4419b0f0019c000db390b54d8b9d06e1d3670039,"[mindsdb/api/http/namespaces/file.py, mindsdb/api/http/utils.py]"
CVE-2023-28459,https://github.com/pretalx/pretalx/commit/60722c43cf975f319e94102e6bff320723776890,src/pretalx/agenda/management/commands/export_schedule_html.py
CVE-2023-28458
CVE-2023-29380
CVE-2023-31131
CVE-2023-32309,https://github.com/facelessuser/pymdown-extensions/commit/b7bb4878d6017c03c8dc97c42d8d3bb6ee81db9d,pymdownx/snippets.py
CVE-2023-37474,https://github.com/9001/copyparty/commit/043e3c7dd683113e2b1c15cacb9c8e68f76513ff,copyparty/httpcli.py
CVE-2023-36827,https://github.com/ethyca/fides/commit/f526d9ffb176006d701493c9d0eff6b4884e811f,src/fides/api/main.py
CVE-2023-40587
CVE-2023-42819,https://github.com/jumpserver/jumpserver/commit/d0321a74f1713d031560341c8fd0a1859e6510d8,apps/ops/api/playbook.py
CVE-2023-48299
