index,language,cve_id,commit,source_path,sink_path,barrier_path,source_line,sink_line,barrier_line,source_code,sink_code,barrier_code,is_vulnerability
cwe-78,python,CVE-2012-3366,a524967e8d5c4c22e49cd619aed20c87a316c0be,code/cwe-78/Bcfg2/bcfg2/src/lib/Server/Plugins/Trigger.py,code/cwe-78/Bcfg2/bcfg2/src/lib/Server/Plugins/Trigger.py,code/cwe-78/Bcfg2/bcfg2/src/lib/Server/Plugins/Trigger.py,,,,,,,1
cwe-78,python,CVE-2012-3366,a524967e8d5c4c22e49cd619aed20c87a316c0be,code/cwe-78/Bcfg2/bcfg2/src/lib/Server/Plugins/Trigger_before.py,code/cwe-78/Bcfg2/bcfg2/src/lib/Server/Plugins/Trigger_before.py,code/cwe-78/Bcfg2/bcfg2/src/lib/Server/Plugins/Trigger_before.py,,,,,,,0
cwe-78,python,CVE-2017-16667,cef81d0da93ff601252607df3db1a48f7f6f01b3,code/cwe-78/bit-team/backintime/qt4/plugins/notifyplugin.py,code/cwe-78/bit-team/backintime/qt4/plugins/notifyplugin.py,code/cwe-78/bit-team/backintime/qt4/plugins/notifyplugin.py,,,,,,,1
cwe-78,python,CVE-2017-16667,cef81d0da93ff601252607df3db1a48f7f6f01b3,code/cwe-78/bit-team/backintime/qt4/plugins/notifyplugin_before.py,code/cwe-78/bit-team/backintime/qt4/plugins/notifyplugin_before.py,code/cwe-78/bit-team/backintime/qt4/plugins/notifyplugin_before.py,,,,,,,0
cwe-78,python,CVE-2021-21386,a966e781499ff6fd4eea66876d7532301b13a382,code/cwe-78/dwisiswant0/apkleaks/apkleaks/apkleaks.py,code/cwe-78/dwisiswant0/apkleaks/apkleaks/apkleaks.py,code/cwe-78/dwisiswant0/apkleaks/apkleaks/apkleaks.py,,,,,,,1
cwe-78,python,CVE-2021-21386,a966e781499ff6fd4eea66876d7532301b13a382,code/cwe-78/dwisiswant0/apkleaks/apkleaks/apkleaks_before.py,code/cwe-78/dwisiswant0/apkleaks/apkleaks/apkleaks_before.py,code/cwe-78/dwisiswant0/apkleaks/apkleaks/apkleaks_before.py,,,,,,,0
cwe-78,python,CVE-2021-21433,26e2a084679679cccdeeabbb6889ce120eff7e50,code/cwe-78/DEMON1A/Discord-Recon/app.py,code/cwe-78/DEMON1A/Discord-Recon/app.py,code/cwe-78/DEMON1A/Discord-Recon/app.py,,,,,,,1
cwe-78,python,CVE-2021-21433,26e2a084679679cccdeeabbb6889ce120eff7e50,code/cwe-78/DEMON1A/Discord-Recon/app_before.py,code/cwe-78/DEMON1A/Discord-Recon/app_before.py,code/cwe-78/DEMON1A/Discord-Recon/app_before.py,,,,,,,0
cwe-78,python,CVE-2021-39160,07690644f29a566011dd0d7ba14cae3eb0490481,code/cwe-78/jupyterhub/nbgitpuller/nbgitpuller/pull.py,code/cwe-78/jupyterhub/nbgitpuller/nbgitpuller/pull.py,code/cwe-78/jupyterhub/nbgitpuller/nbgitpuller/pull.py,,,,,,,1
cwe-78,python,CVE-2021-39160,07690644f29a566011dd0d7ba14cae3eb0490481,code/cwe-78/jupyterhub/nbgitpuller/nbgitpuller/pull_before.py,code/cwe-78/jupyterhub/nbgitpuller/nbgitpuller/pull_before.py,code/cwe-78/jupyterhub/nbgitpuller/nbgitpuller/pull_before.py,,,,,,,0
cwe-78,python,CVE-2021-43857,49bcb19be5e0320e7e1535f34fe00f16a3cf3b28,code/cwe-78/Gerapy/Gerapy/gerapy/server/core/views.py,code/cwe-78/Gerapy/Gerapy/gerapy/server/core/views.py,code/cwe-78/Gerapy/Gerapy/gerapy/server/core/views.py,,,,,,,1
cwe-78,python,CVE-2021-43857,49bcb19be5e0320e7e1535f34fe00f16a3cf3b28,code/cwe-78/Gerapy/Gerapy/gerapy/server/core/views_before.py,code/cwe-78/Gerapy/Gerapy/gerapy/server/core/views_before.py,code/cwe-78/Gerapy/Gerapy/gerapy/server/core/views_before.py,,,,,,,0
cwe-78,python,CVE-2022-1813,8277cec0f008a0451371a92e7e0bf082ab3f0c34,code/cwe-78/yogeshojha/rengine/web/reNgine/common_func.py,code/cwe-78/yogeshojha/rengine/web/reNgine/common_func.py,code/cwe-78/yogeshojha/rengine/web/reNgine/common_func.py,,,,,,,1
